"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"봉오동 전투",40588648538,4787538,1476,107030,2019-08-07,"(주)쇼박스","15세이상관람가","사극,액션,드라마","원신연","유해진,류준열,조우진,키타무라 카즈키,이케우치 히로유키,박지환,최유화,성유빈,이재인,다이고 코타로,고민시,지웅배,양현민,김기태,김규백,강민재,박도하,동윤석,곽진석,김대건,박시윤,권혁성,박영복,김경로,김경준,김경희,김관수,박재형,박준성,박지열,손우진,김동규,박훈,박희순,배성민,김두현,백경록,백승환,안성진,유경훈,김병국,어주선,오상무,오상윤,오승호,오진석,윤병희,김세한,윤선용,김현민,이정민,최민식,장세용,김현철,허인구,허인범,이준우,장의돈,김재현,홍범기,홍상표,장현석,장현정,전동현,전두식,홍진기,홍희자,윤종구,이수호,강내균,정미남,김연,강신구,강신형,이경욱,강준석,이관훈,이광기,고한민,고한수,지성은,곽예준,권성영,이대광,김길중,이도용,김리승,이연빈,김학충,이한종,김승완,김용석,임세운,임정환,이예지,임동욱,조셉,조영동,노재훈,조원빈,김철윤,주광현,남동명,김태형,원일,문동식,원진,위민국,김태준,유명훈,노시홍,지명근,정광희,진근호,정동근,민상우,정윤철,신한울,윤서진,채장열,이인규,정재우,박범석,이권식,심소영,김유진,이민혁,박승준,박야성,최유화,이웅빈,손민호,양정두,장인수,여윤호,최홍락,염석무,전영인,최희열,전중용,오문강,서정식,오재윤,장나라,장래군,원풍연,장병수,오현근,백종승,백효성,한국인,한도진,황태인,한태양,홍민수,곽진석","(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스"
"봉이 김선달",16227052642,2051277,942,51418,2016-07-06,"(주)씨제이이엔엠","12세이상관람가","사극","박대민","유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희,이규형,송재룡,권태원,김승훈,김경룡,최정현,조현식,김정화","(주)엠픽처스,(주)에스엔케이픽처스"
"부당거래",20996302500,2722996,502,69703,2010-10-28,"CJ ENM","청소년관람불가","범죄,드라마","류승완","황정민,김승훈,류승범,유해진,천호진,마동석,김원범,최정현,황병국,조준현,조철현,박형준,한동욱,한상욱,한성희,류수경,한재덕,강유미,서지영,박광호,박미숙,박민정,박민정,박민정,전봉수,전진영,박세준,임정언,권성현,최우성,온세웅,연영식,오상진,김종민,이춘연,이유빈,백승익,오승현,이채은,이미도,이희준,오정세,안길강,김수현,조영진,정만식,차은재,이화룡,김규남,김기천,곽자형,곽진석,김서원","필름트레인,(주)외유내강"
"부라더",11783109998,1492903,889,54976,2017-11-02,"메가박스중앙(주)플러스엠","12세이상관람가","코미디","장유정","마동석,이동휘,이하늬,배준수,석정호,신은영,안백승,안승주,채지혜,이성은,이수민,이은정,한명순,이재민,이하은,황인주,황종환,김근영,이봉련,허성태,손영순,서현철,김강현,류정수,송상은,윤태희,정순원,강지혜","(주)홍필름,(주)수필름"
"부러진 화살",25937273000,3459864,530,71593,2012-01-18,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","정지영","안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선,한현근,허웅,이미화,김지연,이익태,이제희,이지석,배연태,백성기,신종훈,오대환,정원중,조동인,김준배,조덕제,박길수,한기중,이제희,김응수,한사명,이정민","(주)아우라픽처스"
"부산",1172970000,158943,203,12745,2009-10-15,"(주)싸이더스","청소년관람불가","액션,드라마","박지원","유승호,김영호,고창석,정선경,최낙희,김윤안,이세나,박종락,조은하,하혜진,정지윤,권해수,강유진,김상오,민성주,최면신,장훈우,이세나,오승일,정지수,정지우,김진환,양진우,이광기,이향철,이종언,김은희,조재윤,조진웅,이병준,황승언,이은채","(주)오죤필름"
"부산행",93182579048,11566862,1788,151350,2016-07-20,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,스릴러","연상호","공유,김정희,정유미,김율호,이주원,이영욱,마동석,김찬호,김운,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현,한지은,박명신,이육헌,김시우,백인권,차청화,류성록,주광현","(주)영화사레드피터"
"분노의 윤리학",1658653000,225618,302,11909,2013-02-21,"롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러,드라마","박명랑","이제훈,조진웅,곽도원,문소리,이승준,고성희,박길수,진용욱,이나라,김태훈,곽진무,김기천,최광일,한이진","(주)티피에스컴퍼니,(주)사람엔터테인먼트"
"분신사바",3828714000,608479,97,9877,2004-08-05,"브에나비스타인터내셔널코리아","15세관람가","공포(호러)","안병기","김규리,이유리,이세은,최정윤,안성범,이경미,최성민,모지은,김경룡","(주)소프트랜드 영상 사업부 에이포스트 픽쳐스"
"분홍신",6768135000,1072940,182,22227,2005-06-30,"(주)쇼박스","15세관람가","공포(호러)","김용균","김혜수,김성수,박연아,송보경,박선혜,최윤영,윤혜정,이대현,김용화,고수희,이얼,조덕제,박현영,이용녀,박지은","청년필름(주),씨네클릭 아시아(팬텀),아이앤코스모스(주)시네와이즈필름"
